# Incident-Response Timing Conformance Analysis

**Baseline for §3:** SLA tolerance = 0 min,  = 1. §4 varies both. Midpoints are used **only** as a secondary cross-check (§5); no uncertain timestamp is ever collapsed to a point for a conclusion.

---

## 1. Normalization Assumptions

**A1 — Offset direction.** `offset = recorded  true`; offset  [a,b]  true  [recorded  b, recorded  a]. Resolution/rounding is applied to the recorded reading first, then the offset shift (the composition is additive, so order is immaterial numerically).

**A2 — Resolution windows.**
- HUB: displayed second s  reading  [s0.5, s+0.5]; with offset [1,+1]  true  [s1.5, s+1.5].
- Floor-to-minute (OPS-BER, VENDOR-NY, LEGACY-BER): displayed M  reading  [M, M+60) — the upper bound is a **supremum** (half-open). Treated as closed for classification; no decision below sits within 1 s of an affected bound (smallest margin anywhere is 1.5 s).
- SENSOR (round 10 s): displayed t  reading  [t5, t+5); with offset ±5  true  [t10, t+10].
- MOBILE-LON (round 1 min): displayed t  reading  [t30, t+30); with offset ±300  [t330, t+330].

**A3 — Time zones.** 20260601: Berlin = CEST (UTC+2), New York = EDT (UTC4), London = BST (UTC+1). 20251026 Berlin is the DST fold day.

**A4 — DST fold (T-405).** Each LEGACY-BER reading in local 02:xx yields **two disjoint candidate UTC windows** (CEST branch = UTC+2, CET branch = UTC+1), each carrying rounding + ±60 s offset uncertainty. The ingestion-order constraint (Alert < Investigation < Containment) is applied as a **chain-feasibility filter** over the Cartesian product of branches (greedy earliest-feasible test). Result: exactly one branch combination survives (Alert=CEST, Inv=CET, CC=CET). *Assumption:* ingestion order reflects occurrence order; if ingestion lag could approach 1 h, the branches reopen and S1 for T-405 degrades toward INDETERMINATE.

**A5 — Inferred start (T-404).** Investigation_Start := Investigation_Complete  d, d  [1080, 1500] s, propagated as interval arithmetic: Start  [IC_low  1500, IC_high  1080]. Assumes the signed work record measures StartInvestigation_Complete on the same clock domain as the HUB events. All uncertainty retained; no midpoint substitution.

**A6 — Derived receipt (T-407).** Alert_Received := Alert_Sent + ,   [0, 1200] s (network evidence). `Alert_Sent  Alert_Received` semantically; the causal constraint "receipt  start" is **not imposed** in the baseline (not logged). Imposing it changes the duration interval from raw [183, 1023] to [3, 1023] (clamped [0, 1023]) — classification unchanged.

**A7 — Mobile entry delay (T-406).** Primary treatment: the delay is an **additional additive error  [0, +300] s on (recorded  true)**, i.e., it widens the **occurrence-time** interval downward (we cannot distinguish "correct time typed late" from "entry time typed as event time"). Result: Inv  [12:04:30, 12:19:30) UTC. Alternative treatment (delay is pure recording latency; the typed value remains the claimed event time) gives [12:08:30, 12:19:30). **This assumption is material:** it flips T-406 S2 and profile (IC) at =1 from POSSIBLE_VIOLATION to CERTAIN_PASS. Flagged in §4.

**A8 — Non-negativity.** Physical durations are  0. Where evidence permits order inversion (T-407 raw low 183 s; T-409 raw low 481.5 s), the feasible set is clamped to [0, ·] for testing and the inversion is reported as an internal-consistency warning. Clamping never changes a classification here (negative durations violate every positive threshold/band anyway).

**A9 — Unions preserved.** Duration feasible sets are kept as merged unions of intervals; classifications evaluate every component. Acceptance regions: SLA [0, T] inclusive; profile [, +] inclusive.

---

## 2. UTC Event-Time Intervals

\* = upper bound is a supremum (half-open floor/round semantics).

| Case | Activity | Feasible UTC interval(s) | Source of uncertainty | Strength | Notes |
|---|---|---|---|---|---|
| T-401 | Alert_Received | 2026-06-01T07:59:58.500Z – 08:00:01.500Z | HUB ±1.5 s | High | |
| T-401 | Investigation_Start | 2026-06-01T08:12:00Z – 08:16:30Z\* | floor 1 min + offset [90,+120] s | Medium | daily NTP bound |
| T-401 | Containment_Complete | 2026-06-01T08:51:00Z – 08:51:20Z\* | round 10 s + offset ±5 s | Medium | completion event |
| T-401 | Close_Incident | 2026-06-02T08:59:58.500Z – 09:00:01.500Z | HUB ±1.5 s | High | |
| T-402 | Alert_Received | 2026-06-01T08:59:58.500Z – 09:00:01.500Z | HUB | High | |
| T-402 | Investigation_Start | 2026-06-01T09:16:00Z – 09:21:30Z\* | floor + offset | Medium | |
| T-402 | Containment_Complete | 2026-06-01T10:01:58.500Z – 10:02:01.500Z | HUB | High | |
| T-403 | Alert_Received | 2026-06-01T07:57:00Z – 08:04:00Z\* | floor + offset ±180 s, EDT | Low–Medium | external, unsynchronized |
| T-403 | Investigation_Start | 2026-06-01T08:15:58.500Z – 08:16:01.500Z | HUB | High | |
| T-403 | Containment_Complete | 2026-06-01T08:57:58.500Z – 08:58:01.500Z | HUB | High | |
| T-404 | Alert_Received | 2026-06-01T09:59:58.500Z – 10:00:01.500Z | HUB | High | |
| T-404 | Investigation_Start | 2026-06-01T10:09:58.500Z – 10:17:01.500Z | **inferred**: IC  d, d[18,25] min | Medium | A5; retains all uncertainty |
| T-404 | Investigation_Complete | 2026-06-01T10:34:58.500Z – 10:35:01.500Z | HUB | High | context row |
| T-404 | Containment_Complete | 2026-06-01T10:54:58.500Z – 10:55:01.500Z | HUB | High | |
| T-405 | Alert_Received | 2025-10-26T00:49:00Z – 00:52:00Z\* | fold branches + ±60 s | Medium | CEST branch survives; CET branch [01:49,01:52) eliminated by A4 |
| T-405 | Investigation_Start | 2025-10-26T01:04:00Z – 01:07:00Z\* | fold + ±60 s | Medium | CET branch; CEST [00:04,00:07) eliminated |
| T-405 | Containment_Complete | 2025-10-26T01:41:00Z – 01:44:00Z\* | fold + ±60 s | Medium | CET branch; CEST [00:41,00:44) eliminated |
| T-406 | Alert_Received | 2026-06-01T11:59:58.500Z – 12:00:01.500Z | HUB | High | |
| T-406 | Investigation_Start | 2026-06-01T12:04:30Z – 12:19:30Z\* | round 1 min + ±300 s + entry delay 300 s | Low | A7 primary; variant without entry widening: 12:08:30Z – 12:19:30Z\* |
| T-406 | Containment_Complete | 2026-06-01T12:51:58.500Z – 12:52:01.500Z | HUB | High | |
| T-407 | Alert_Sent | 2026-06-01T13:59:58.500Z – 14:00:01.500Z | HUB | High | not definitionally Alert_Received |
| T-407 | Alert_Received | 2026-06-01T13:59:58.500Z – 14:20:01.500Z | **derived**: Sent + [0,20] min | Low–Medium | A6; no ack exists |
| T-407 | Investigation_Start | 2026-06-01T14:16:58.500Z – 14:17:01.500Z | HUB | High | |
| T-407 | Containment_Complete | 2026-06-01T14:54:58.500Z – 14:55:01.500Z | HUB | High | |
| T-408 | Alert_Received | 2026-06-01T14:59:58.500Z – 15:00:01.500Z | HUB | High | |
| T-408 | Investigation_Start | 2026-06-01T15:09:58.500Z – 15:10:01.500Z | HUB | High | |
| T-408 | Containment_Complete | 2026-06-01T16:04:58.500Z – 16:05:01.500Z | HUB | High | |
| T-408 | Close_Incident | 2026-06-03T06:29:58.500Z – 06:30:01.500Z | HUB | High | |
| T-409 | Alert_Received | 2026-06-01T15:59:58.500Z – 16:00:01.500Z | HUB | High | |
| T-409 | Investigation_Start | 2026-06-01T15:52:00Z – 16:17:00Z\* | floor + **weak** offset ±720 s | Low | NTP diagnostics missing for this hour |
| T-409 | Containment_Complete | 2026-06-01T16:34:58.500Z – 16:35:01.500Z | HUB | High | |

---

## 3. Certain/Possible/Indeterminate Findings

Legend: CP = CERTAIN_PASS, CV = CERTAIN_VIOLATION, PV = POSSIBLE_VIOLATION, IND = INDETERMINATE. Durations in seconds. Severity shows worst-case exceedance beyond the limit/band.

### 3.1 Hard SLA rules (tolerance 0)

| Case | Rule | Feasible duration(s) | Acceptance region | Class | Severity | Conf. | Rationale |
|---|---|---|---|---|---|---|---|
| T-401 | S1 | [718.5, 991.5] | [0, 900] | PV |  +91.5 s | Med | straddles limit |
| T-401 | S2 | [2070, 2360] | [0, 2700] | CP | — | Med | wholly inside |
| T-401 | S3 | [86918.5, 86941.5] | [0, 129600] | CP | — | High | 24.15 h  36 h |
| T-402 | S1 | [958.5, 1291.5] | [0, 900] | **CV** | +58.5…+391.5 s | Med–High | wholly above even at best case |
| T-402 | S2 | [2428.5, 2761.5] | [0, 2700] | PV |  +61.5 s | Med–High | straddles |
| T-402 | S3 | — | — | IND | — | — | Close_Incident missing |
| T-403 | S1 | [718.5, 1141.5] | [0, 900] | PV |  +241.5 s | Med | straddles; vendor clock dominates |
| T-403 | S2 | [2517, 2523] | [0, 2700] | CP | — | High | HUB-only chain |
| T-403 | S3 | — | — | IND | — | — | Close missing |
| T-404 | S1 | [597, 1023] | [0, 900] | PV |  +123 s | Med | inferred start (A5) |
| T-404 | S2 | [2277, 2703] | [0, 2700] | PV |  +3 s | Med–High | breach exists only via HUB ±1.5 s noise |
| T-404 | S3 | — | — | IND | — | — | Close missing |
| T-405 | S1 | [720, 1080] | [0, 900] | PV |  +180 s | Med | fold resolved via ingestion order (A4) |
| T-405 | S2 | [2040, 2400] | [0, 2700] | CP | — | Med | |
| T-405 | S3 | — | — | IND | — | — | Close missing |
| T-406 | S1 | [268.5, 1171.5] | [0, 900] | PV |  +271.5 s | Low | user-entered source |
| T-406 | S2 | [1948.5, 2851.5] | [0, 2700] | PV |  +151.5 s | Low | **assumption-sensitive (A7)**: variant  CP |
| T-406 | S3 | — | — | IND | — | — | Close missing |
| T-407 | S1 | [0, 1023] (raw low 183) | [0, 900] | PV |  +123 s | Low | derived receipt; sentreceived; causal constraint not imposed (imposing it: same class) |
| T-407 | S2 | [2277, 2703] | [0, 2700] | PV |  +3 s | High | HUB-only; noise-level breach |
| T-407 | S3 | — | — | IND | — | — | Close missing |
| T-408 | S1 | [597, 603] | [0, 900] | CP | — | High | |
| T-408 | S2 | [3297, 3303] | [0, 2700] | **CV** |  +597 s (10 min) | High | containment took ~55 min |
| T-408 | S3 | [138297, 138303] | [0, 129600] | **CV** |  +8697 s (2.42 h) | High | close at ~38.4 h |
| T-409 | S1 | [0, 1021.5] (raw low 481.5) | [0, 900] | PV |  +121.5 s | Low | weak ±12 min offset; order inversion possible |

### 3.2 Temporal profile pairs ( = 1; full  matrix in §4)

Bands at =1: AI [420, 780]; IC [1500, 2700]; AC [1980, 3420]; CClose [64800, 108000].

| Case | Pair | Feasible duration(s) | Acceptance region | Class | Severity | Conf. | Rationale |
|---|---|---|---|---|---|---|---|
| T-401 | AI | [718.5, 991.5] | [420, 780] | CV | stat. Mod | Med | wholly above band |
| T-401 | IC | [2070, 2360] | [1500, 2700] | CP | — | Med | |
| T-401 | AC | [3058.5, 3081.5] | [1980, 3420] | CP | — | Med | |
| T-401 | CCl | [86918.5, 86941.5] | [64800, 108000] | CP | — | High | |
| T-402 | AI | [958.5, 1291.5] | [420, 780] | CV | stat. Mod | Med | |
| T-402 | IC | [2428.5, 2761.5] | [1500, 2700] | PV | stat. Low | Med–High | |
| T-402 | AC | [3717, 3723] | [1980, 3420] | CV | stat. Mod | Med–High | wholly above |
| T-403 | AI | [718.5, 1141.5] | [420, 780] | PV | stat. Low | Med | |
| T-403 | IC | [2517, 2523] | [1500, 2700] | CP | — | High | |
| T-403 | AC | [3238.5, 3661.5] | [1980, 3420] | PV | stat. Low | Med | |
| T-404 | AI | [597, 1023] | [420, 780] | PV | stat. Low | Med | inferred start |
| T-404 | IC | [2277, 2703] | [1500, 2700] | PV | stat. Low | Med–High | |
| T-404 | AC | [3297, 3303] | [1980, 3420] | CP | — | High | |
| T-405 | AI | [720, 1080] | [420, 780] | PV | stat. Low | Med | |
| T-405 | IC | [2040, 2400] | [1500, 2700] | CP | — | Med | |
| T-405 | AC | [2940, 3300] | [1980, 3420] | CP | — | Med | |
| T-406 | AI | [268.5, 1171.5] | [420, 780] | PV | stat. Low | Low | |
| T-406 | IC | [1948.5, 2851.5] | [1500, 2700] | PV | stat. Low | Low | assumption-sensitive (A7) |
| T-406 | AC | [3117, 3123] | [1980, 3420] | CP | — | Med | |
| T-407 | AI | — | — | IND | — | — | Alert_Received missing; SentReceived (proxy would be PV) |
| T-407 | IC | [2277, 2703] | [1500, 2700] | PV | stat. Low | High | |
| T-407 | AC | — | — | IND | — | — | same semantic gap (proxy would be CV at =1) |
| T-408 | AI | [597, 603] | [420, 780] | CP | — | High | |
| T-408 | IC | [3297, 3303] | [1500, 2700] | CV | stat. Mod | High | |
| T-408 | AC | [3897, 3903] | [1980, 3420] | CV | stat. Mod | High | |
| T-408 | CCl | [138297, 138303] | [64800, 108000] | CV | stat. High | High | +8.4 h beyond =1 band |
| T-409 | AI | [0, 1021.5] | [420, 780] | PV | stat. Low | Low | clamped; [0,60) slice violates even =3 band |
| T-409 | IC | [1078.5, 2581.5] | [1500, 2700] | PV | stat. Low | Med | |
| T-409 | AC | [2097, 2103] | [1980, 3420] | CP | — | Med | |

**Cross-cutting observations.** (i) T-402 S1 and all three T-408 SLA breaches are the only *certain* SLA violations. (ii) Several PVs hinge on 1.5–3 s margins (T-404/T-407 S2, T-409 S1 at +2 min tolerance) — smaller than the HUB's own ±1.5 s jitter. (iii) Profile deviations are statistical findings, not legal breaches; T-408 violates both simultaneously.

---

## 4. Sensitivity Analysis

### 4.1 SLA tolerance matrix (CP/PV/CV/IND)

| Case-Rule | +0 min | +2 min | +5 min |
|---|---|---|---|
| T-401 S1 | PV | **CP** | CP |
| T-402 S1 | **CV** | **PV** | PV |
| T-403 S1 | PV | PV | **CP** |
| T-404 S1 | PV | PV | **CP** |
| T-405 S1 | PV | PV | **CP** |
| T-406 S1 | PV | PV | **CP** |
| T-407 S1 | PV | PV | **CP** |
| T-408 S1 | CP | CP | CP |
| T-409 S1 | PV | PV | **CP** |
| T-402 S2 | PV | **CP** | CP |
| T-404 S2 | PV | **CP** | CP |
| T-406 S2 | PV | PV | **CP** |
| T-407 S2 | PV | **CP** | CP |
| T-408 S2 | **CV** | CV | CV |
| all other S2 | CP | CP | CP |
| T-401 S3 | CP | CP | CP |
| T-408 S3 | **CV** | CV | CV |
| all other S3 | IND | IND | IND |

**Changes discussed.** At **+2 min**: T-401 S1  CP; T-402 S1 degrades CVPV (a *loss* of certainty — tolerance can also destroy findings); T-402/T-404/T-407 S2  CP. T-404/T-407 S1 and T-409 S1 *remain* PV by 3 s, 3 s, and 1.5 s respectively — margins below instrument noise, so a +2 min policy would still convict on noise. At **+5 min**: six further S1 rows  CP and T-406 S2  CP. T-402 S1 stays PV (would need  +6.6 min); T-408 S2/S3 stay CV (would need  +10 min and  +2.45 h). **Implication:** any tolerance below aggregate source uncertainty manufactures violations; tolerance should be set  combined uncertainty of the weakest clock in the chain.

### 4.2 Temporal-profile  matrix

| Case-Pair | =1 | =2 | =3 |
|---|---|---|---|
| T-401 AI | CV | **PV** | **CP** |
| T-402 AI | CV | **PV** | PV |
| T-402 IC | PV | **CP** | CP |
| T-402 AC | CV | **CP** | CP |
| T-403 AI | PV | PV | PV |
| T-403 AC | PV | **CP** | CP |
| T-404 AI | PV | PV | **CP** |
| T-404 IC | PV | **CP** | CP |
